Latitude (X),Longitude(Y),Depth
-74.5309000,39.4969600,0.0000000
-74.5309100,39.4969600,0.0000000
-74.5309100,39.4969600,0.0000000
-74.5309200,39.4969600,0.0000000
-74.5309400,39.4969600,0.0000000
-74.5309400,39.4969600,0.0000000
-74.5309400,39.4969700,0.0000000
-74.5309400,39.4969700,0.0000000
-74.5309600,39.4969600,0.0000000
-74.5309800,39.4969600,0.0000000
-74.5309800,39.4969700,0.0000000
-74.5310100,39.4969600,0.0000000
-74.5310300,39.4969500,0.0000000
-74.5310500,39.4969400,0.0000000
-74.5310700,39.4969400,0.0000000
-74.5310700,39.4969300,0.0000000
-74.5310900,39.4969300,0.0000000
-74.5311000,39.4969300,0.0000000
-74.5311100,39.4969300,0.0000000
-74.5311200,39.4969400,0.0000000
-74.5311300,39.4969400,0.0000000
-74.5311400,39.4969400,0.0000000
-74.5311500,39.4969400,0.0000000
-74.5311600,39.4969400,0.0000000
-74.5311700,39.4969500,0.0000000
-74.5311800,39.4969400,0.0000000
-74.5312000,39.4969400,0.0000000
-74.5312000,39.4969400,0.0000000
-74.5312000,39.4969400,0.0000000
-74.5312100,39.4969400,0.0000000
-74.5312200,39.4969400,0.0000000
-74.5312300,39.4969400,0.0000000
-74.5312400,39.4969300,0.0000000
-74.5312600,39.4969300,0.0000000
-74.5312800,39.4969300,0.0000000
-74.5313000,39.4969300,0.0000000
-74.5313100,39.4969300,0.0000000
-74.5313300,39.4969300,0.0000000
-74.5313300,39.4969200,0.0000000
-74.5313300,39.4969200,0.0000000
-74.5313400,39.4969300,0.0000000
-74.5313500,39.4969200,0.0000000
-74.5313600,39.4969100,0.0000000
-74.5313900,39.4968900,0.0000000
-74.5314000,39.4968900,0.0000000
-74.5314200,39.4968900,0.0000000
-74.5314400,39.4968900,0.0000000
-74.5314600,39.4968800,0.0000000
-74.5314700,39.4968900,0.0000000
-74.5314900,39.4968900,0.0000000
-74.5315100,39.4968800,0.0000000
-74.5315200,39.4968800,0.0000000
-74.5315400,39.4968800,0.0000000
-74.5315500,39.4968700,0.0000000
-74.5315600,39.4968700,0.0000000
-74.5315700,39.4968600,0.0000000
-74.5315900,39.4968700,0.0000000
-74.5316000,39.4968700,0.0000000
-74.5316200,39.4968700,0.0000000
-74.5316400,39.4968700,0.0000000
-74.5316500,39.4968700,0.0000000
-74.5316600,39.4968700,0.0000000
-74.5316800,39.4968800,0.0000000
-74.5317000,39.4968600,0.0000000
-74.5317100,39.4968600,0.0000000
-74.5317200,39.4968500,0.0000000
-74.5317300,39.4968500,0.0000000
-74.5317400,39.4968500,0.0000000
-74.5317500,39.4968500,0.0000000
-74.5317700,39.4968500,0.0000000
-74.5317800,39.4968600,0.0000000
-74.5317800,39.4968600,0.0000000
-74.5317900,39.4968800,0.0000000
-74.5318000,39.4968900,0.0000000
-74.5318200,39.4968900,0.0000000
-74.5318400,39.4969000,0.0000000
-74.5318400,39.4969000,0.0000000
-74.5318600,39.4969000,0.0000000
-74.5318700,39.4969000,0.0000000
-74.5318800,39.4969000,0.0000000
-74.5318800,39.4969100,0.0000000
-74.5318900,39.4969200,0.0000000
-74.5318900,39.4969300,0.0000000
-74.5319100,39.4969300,0.0000000
-74.5319100,39.4969400,0.0000000
-74.5319100,39.4969400,0.0000000
-74.5319200,39.4969500,0.0000000
-74.5319400,39.4969600,0.0000000
-74.5319400,39.4969600,0.0000000
-74.5319400,39.4969600,0.0000000
-74.5319500,39.4969600,0.0000000
-74.5319700,39.4969600,0.0000000
-74.5319800,39.4969600,0.0000000
-74.5320000,39.4969700,0.0000000
-74.5320100,39.4969700,0.0000000
-74.5320400,39.4969800,0.0000000
-74.5320400,39.4969900,0.0000000
-74.5320600,39.4969900,0.0000000
-74.5320700,39.4969900,0.0000000
-74.5320900,39.4969900,0.0000000
-74.5321000,39.4969900,0.0000000
-74.5321200,39.4970000,0.0000000
-74.5321300,39.4970000,0.0000000
-74.5321400,39.4970100,0.0000000
-74.5321600,39.4970100,0.0000000
-74.5321700,39.4970100,0.0000000
-74.5321800,39.4970100,0.0000000
-74.5322000,39.4970100,0.0000000
-74.5322300,39.4970100,0.0000000
-74.5322500,39.4970200,0.0000000
-74.5322600,39.4970200,0.0000000
-74.5322800,39.4970200,0.0000000
-74.5323000,39.4970100,0.0000000
-74.5323100,39.4970100,0.0000000
-74.5323300,39.4970000,0.0000000
-74.5323600,39.4969900,0.0000000
-74.5323600,39.4970000,0.0000000
-74.5323800,39.4970000,0.0000000
-74.5323900,39.4970000,0.0000000
-74.5323900,39.4970000,0.0000000
-74.5324100,39.4970100,0.0000000
-74.5324200,39.4970100,0.0000000
-74.5324400,39.4970000,0.0000000
-74.5324400,39.4970100,0.0000000
-74.5324600,39.4970100,0.0000000
-74.5324700,39.4970100,0.0000000
-74.5324900,39.4970100,0.0000000
-74.5324900,39.4970100,0.0000000
-74.5325100,39.4970100,0.0000000
-74.5325200,39.4970000,0.0000000
-74.5325400,39.4970100,0.0000000
-74.5325500,39.4969900,0.0000000
-74.5325800,39.4969900,0.0000000
-74.5325900,39.4969900,0.0000000
-74.5325900,39.4969900,0.0000000
-74.5326000,39.4969900,0.0000000
-74.5326200,39.4969900,0.0000000
-74.5326300,39.4969800,0.0000000
-74.5326400,39.4969800,0.0000000
-74.5326500,39.4969900,0.0000000
-74.5326600,39.4969800,0.0000000
-74.5326700,39.4969800,0.0000000
-74.5326800,39.4969800,0.0000000
-74.5326800,39.4969900,0.0000000
-74.5327000,39.4969900,0.0000000
-74.5327100,39.4969900,0.0000000
-74.5327100,39.4969900,0.0000000
-74.5327200,39.4970000,0.0000000
-74.5327200,39.4970100,0.0000000
-74.5327400,39.4970100,0.0000000
-74.5327500,39.4970200,0.0000000
-74.5327600,39.4970200,0.0000000
-74.5327700,39.4970200,0.0000000
-74.5327800,39.4970200,0.0000000
-74.5327900,39.4970200,0.0000000
-74.5327900,39.4970400,0.0000000
-74.5327900,39.4970400,0.0000000
-74.5328000,39.4970500,0.0000000
-74.5328000,39.4970600,0.0000000
-74.5328000,39.4970700,0.0000000
-74.5328100,39.4970700,0.0000000
-74.5328100,39.4970900,0.0000000
-74.5328100,39.4971000,0.0000000
-74.5328200,39.4971100,0.0000000
-74.5328200,39.4971200,0.0000000
-74.5328200,39.4971300,0.0000000
-74.5328300,39.4971400,0.0000000
-74.5328400,39.4971500,0.0000000
-74.5328600,39.4971500,0.0000000
-74.5328600,39.4971700,0.0000000
-74.5328800,39.4971800,0.0000000
-74.5328900,39.4972000,0.0000000
-74.5329100,39.4972000,0.0000000
-74.5329200,39.4972100,0.0000000
-74.5329300,39.4972200,0.0000000
-74.5329400,39.4972200,0.0000000
-74.5329500,39.4972200,0.0000000
-74.5329600,39.4972300,0.0000000
-74.5329700,39.4972300,0.0000000
-74.5329800,39.4972300,0.0000000
-74.5330000,39.4972300,0.0000000
-74.5330100,39.4972300,0.0000000
